time,hex,int,voltage
2020-04-30 20:37:24.538330,0x20ee3,134883,-4.85421355
2020-04-30 20:37:24.658550,0x20d3c,134460,-4.870351
2020-04-30 20:37:24.756430,0x20a8a,133770,-4.8966745000000005
2020-04-30 20:37:26.084169,0x2090e,133390,-4.9111715
2020-04-30 20:37:26.220722,0x221d6,139734,-4.6691479000000005
2020-04-30 20:37:26.319196,0x22935,141621,-4.5971588500000005
2020-04-30 20:37:26.417507,0x22f30,143152,-4.5387512
2020-04-30 20:37:26.515625,0x23591,144785,-4.47645225
2020-04-30 20:37:26.614000,0x23c6d,146541,-4.40946085
2020-04-30 20:37:26.712109,0x24396,148374,-4.3395319
2020-04-30 20:37:26.810297,0x24b0c,150284,-4.2666654
2020-04-30 20:37:26.909533,0x252f3,152307,-4.18948795
2020-04-30 20:37:27.027165,0x25b78,154488,-4.1062828
2020-04-30 20:37:27.145026,0x26693,157331,-3.99782235
2020-04-30 20:37:27.262658,0x27154,160084,-3.8927954
2020-04-30 20:37:27.364004,0x27d22,163106,-3.7775061
2020-04-30 20:37:27.463212,0x287a0,165792,-3.6750352
2020-04-30 20:37:27.562676,0x29240,168512,-3.5712672000000003
2020-04-30 20:37:27.661626,0x29d5e,171358,-3.4626923000000005
2020-04-30 20:37:27.760680,0x2a8b2,174258,-3.3520573000000002
2020-04-30 20:37:27.860084,0x2b463,177251,-3.2378743500000002
2020-04-30 20:37:27.959050,0x2c08f,180367,-3.11899895
2020-04-30 20:37:28.073608,0x2ccdf,183519,-2.9987501500000002
2020-04-30 20:37:28.191884,0x2db85,187269,-2.85568765
2020-04-30 20:37:28.290742,0x2eaa9,191145,-2.70781825
2020-04-30 20:37:28.389859,0x2f83e,194622,-2.5751707
2020-04-30 20:37:28.489300,0x305a8,198056,-2.4441636000000004
2020-04-30 20:37:28.589149,0x31384,201604,-2.3088074
2020-04-30 20:37:28.703193,0x321c0,205248,-2.1697888
2020-04-30 20:37:28.802672,0x331eb,209387,-2.01188595
2020-04-30 20:37:28.903420,0x34071,213105,-1.8700442499999994
2020-04-30 20:37:29.022709,0x34f31,216881,-1.7259898499999995
2020-04-30 20:37:29.122436,0x36136,221494,-1.5500039
2020-04-30 20:37:29.221733,0x37031,225329,-1.4036986500000008
2020-04-30 20:37:29.322417,0x37eb9,229049,-1.2617806500000004
2020-04-30 20:37:29.423776,0x38ec8,233160,-1.104946
2020-04-30 20:37:29.523347,0x39e84,237188,-0.9512777999999997
2020-04-30 20:37:29.623262,0x3ae0c,241164,-0.7995934000000009
2020-04-30 20:37:29.724202,0x3bdcf,245199,-0.6456581500000009
2020-04-30 20:37:29.841798,0x3cdb0,249264,-0.4905784000000004
2020-04-30 20:37:29.941582,0x3e022,253986,-0.31043410000000016
2020-04-30 20:37:30.041291,0x3f01d,258077,-0.1543624500000007
2020-04-30 20:37:30.142211,0x3ffb9,262073,-0.0019150500000009174
2020-04-30 20:37:30.242566,0xf8f,3983,0.15195145
2020-04-30 20:37:30.343026,0x1f6f,8047,0.30699305
2020-04-30 20:37:30.443470,0x2f64,12132,0.46283579999999996
2020-04-30 20:37:30.545748,0x3efe,16126,0.6152069
2020-04-30 20:37:30.665423,0x4f4a,20298,0.7743687
2020-04-30 20:37:30.773657,0x61f6,25078,0.9567257
2020-04-30 20:37:30.872736,0x72ea,29418,1.1222967
2020-04-30 20:37:30.972667,0x8213,33299,1.27035685
2020-04-30 20:37:31.071706,0x915d,37213,1.41967595
2020-04-30 20:37:31.170957,0xa04b,41035,1.56548525
2020-04-30 20:37:31.271275,0xaf0c,44812,1.7095778
2020-04-30 20:37:31.372151,0xbe7e,48766,1.8604228999999999
2020-04-30 20:37:31.480158,0xccd4,52436,2.0004334
2020-04-30 20:37:31.599820,0xdc55,56405,2.15185075
2020-04-30 20:37:31.702634,0xed17,60695,2.31551425
2020-04-30 20:37:31.802450,0xfb71,64369,2.4556773499999998
2020-04-30 20:37:31.904483,0x108f3,67827,2.58760005
2020-04-30 20:37:32.006721,0x11687,71303,2.72020945
2020-04-30 20:37:32.108857,0x123c4,74692,2.8494998
2020-04-30 20:37:32.210921,0x130ce,78030,2.9768445
2020-04-30 20:37:32.313895,0x13d9e,81310,3.1019765
2020-04-30 20:37:32.430634,0x14a1e,84510,3.2240565
2020-04-30 20:37:32.530837,0x15817,88087,3.3605190499999997
2020-04-30 20:37:32.630834,0x16376,90998,3.4715737
2020-04-30 20:37:32.731198,0x16e8e,93838,3.5799197
2020-04-30 20:37:32.831474,0x17956,96598,3.6852137
2020-04-30 20:37:32.932546,0x18395,99221,3.78528115
2020-04-30 20:37:33.032565,0x18db4,101812,3.8841278
2020-04-30 20:37:33.135676,0x1975a,104282,3.9783583
2020-04-30 20:37:33.254978,0x1a0b8,106680,4.0698419999999995
2020-04-30 20:37:33.355658,0x1aaab,109227,4.16701005
2020-04-30 20:37:33.455927,0x1b368,111464,4.2523516
2020-04-30 20:37:33.556296,0x1bb1f,113439,4.32769785
2020-04-30 20:37:33.656662,0x1c281,115329,4.39980135
2020-04-30 20:37:33.771468,0x1c990,117136,4.4687383999999994
2020-04-30 20:37:33.872024,0x1d0c8,118984,4.5392396
2020-04-30 20:37:33.973740,0x1d6c3,120515,4.59764725
2020-04-30 20:37:34.093274,0x1dc57,121943,4.65212545
2020-04-30 20:37:34.194241,0x1e23f,123455,4.70980825
2020-04-30 20:37:34.294681,0x1e6be,124606,4.7537189
2020-04-30 20:37:34.395410,0x1eab4,125620,4.792403
2020-04-30 20:37:34.497119,0x1ee34,126516,4.8265854
2020-04-30 20:37:34.597576,0x1f143,127299,4.85645685
2020-04-30 20:37:34.698089,0x1f3af,127919,4.88010985
2020-04-30 20:37:34.800666,0x1f5a9,128425,4.89941375
2020-04-30 20:37:34.921632,0x1f70d,128781,4.9129951499999995
2020-04-30 20:37:35.043329,0x1f838,129080,4.924402
2020-04-30 20:37:35.164183,0x1f871,129137,4.92657655
2020-04-30 20:37:35.265122,0x1f80b,129035,4.92268525
2020-04-30 20:37:35.365806,0x1f730,128816,4.9143304
2020-04-30 20:37:35.467257,0x1f664,128612,4.9065478
2020-04-30 20:37:35.568265,0x1f3e6,127974,4.8822081
2020-04-30 20:37:35.669154,0x1f188,127368,4.8590892
2020-04-30 20:37:35.769784,0x1ee7b,126587,4.82929405
2020-04-30 20:37:35.874145,0x1eb2d,125741,4.79701915
2020-04-30 20:37:35.994351,0x1e744,124740,4.758831
2020-04-30 20:37:36.095073,0x1e1f9,123385,4.70713775
2020-04-30 20:37:36.196511,0x1dd0d,122125,4.65906875
2020-04-30 20:37:36.297400,0x1d79d,120733,4.60596395
2020-04-30 20:37:36.398342,0x1d1bd,119229,4.54858635
2020-04-30 20:37:36.500953,0x1cb59,117593,4.48617295
2020-04-30 20:37:36.602009,0x1c423,115747,4.4157480499999995
2020-04-30 20:37:36.704137,0x1bcd9,113881,4.3445601499999995
2020-04-30 20:37:36.824645,0x1b522,111906,4.2692139
2020-04-30 20:37:36.925491,0x1abaa,109482,4.1767383
2020-04-30 20:37:37.026951,0x1a27b,107131,4.08704765
2020-04-30 20:37:37.127751,0x1995a,104794,3.9978911
2020-04-30 20:37:37.228589,0x18fa6,102310,3.9031265
2020-04-30 20:37:37.329622,0x185ce,99790,3.8069885
2020-04-30 20:37:37.431383,0x17b7f,97151,3.70631065
2020-04-30 20:37:37.533973,0x170c9,94409,3.6017033499999997
2020-04-30 20:37:37.652972,0x16581,91521,3.49152615
2020-04-30 20:37:37.754294,0x157e1,88033,3.3584589499999997
2020-04-30 20:37:37.855344,0x14bff,84991,3.24240665
2020-04-30 20:37:37.956183,0x13fb8,81848,3.1225012
2020-04-30 20:37:38.057003,0x1334c,78668,3.0011842
2020-04-30 20:37:38.158512,0x12661,75361,2.87502215
2020-04-30 20:37:38.259647,0x11926,71974,2.7458081
2020-04-30 20:37:38.364843,0x10bbb,68539,2.61476285
2020-04-30 20:37:38.487759,0xfd4b,64843,2.47376045
2020-04-30 20:37:38.609970,0xec3c,60476,2.3071593999999997
2020-04-30 20:37:38.711626,0xdb14,56084,2.1396045999999997
2020-04-30 20:37:38.827246,0xcc66,52326,1.9962369
2020-04-30 20:37:38.929822,0xbb78,47992,1.8308948
2020-04-30 20:37:39.031477,0xac43,44099,1.68237685
2020-04-30 20:37:39.132734,0x9d04,40196,1.5334774
2020-04-30 20:37:39.234139,0x8ddc,36316,1.3854554
2020-04-30 20:37:39.336749,0x7e38,32312,1.2327028
2020-04-30 20:37:39.458086,0x6e89,28297,1.0795305499999999
2020-04-30 20:37:39.559460,0x5b8c,23436,0.8940834
2020-04-30 20:37:39.660501,0x4bb6,19382,0.7394233
2020-04-30 20:37:39.762930,0x3be1,15329,0.58480135
2020-04-30 20:37:39.865069,0x2b8d,11149,0.42533434999999997
2020-04-30 20:37:39.966435,0x1b6e,7022,0.2678893
2020-04-30 20:37:40.069263,0xb55,2901,0.11067315
2020-04-30 20:37:40.172836,0x3fb4d,260941,-0.04510085000000075
2020-04-30 20:37:40.297100,0x3eae5,256741,-0.20533085000000106
2020-04-30 20:37:40.420239,0x3d76e,251758,-0.3954322999999995
2020-04-30 20:37:40.541179,0x3c3e8,246760,-0.5861060000000009
2020-04-30 20:37:40.642892,0x3b0e4,241892,-0.7718202000000005
2020-04-30 20:37:40.744511,0x3a107,237831,-0.9267473499999994
2020-04-30 20:37:40.846213,0x3912e,233774,-1.0815219000000003
2020-04-30 20:37:40.948461,0x38169,229737,-1.2355334500000001
2020-04-30 20:37:41.051420,0x371e0,225760,-1.3872560000000007
2020-04-30 20:37:41.153142,0x3623f,221759,-1.5398941500000003
2020-04-30 20:37:41.256155,0x35317,217879,-1.6879161499999995
2020-04-30 20:37:41.378666,0x343e0,213984,-1.8365103999999999
2020-04-30 20:37:41.480347,0x3323c,209468,-2.0087958000000006
2020-04-30 20:37:41.581157,0x32370,205680,-2.153308
2020-04-30 20:37:41.682153,0x3152e,202030,-2.2925555000000006
2020-04-30 20:37:41.783207,0x30716,198422,-2.4302007000000003
2020-04-30 20:37:41.885095,0x2f948,194888,-2.5650228000000004
2020-04-30 20:37:41.986414,0x2eb98,191384,-2.6987004
2020-04-30 20:37:42.089221,0x2de4b,187979,-2.82860115
2020-04-30 20:37:42.213174,0x2d0fe,184574,-2.9585019
2020-04-30 20:37:42.337215,0x2c197,180631,-3.10892735
2020-04-30 20:37:42.459706,0x2b28e,176782,-3.2557667000000006
2020-04-30 20:37:42.561135,0x2a467,173159,-3.3939841500000005
2020-04-30 20:37:42.662127,0x298b6,170166,-3.5081671000000005
2020-04-30 20:37:42.764630,0x28de1,167393,-3.61395705
2020-04-30 20:37:42.866308,0x282bf,164543,-3.7226845500000003
2020-04-30 20:37:42.967814,0x27849,161865,-3.82485025
2020-04-30 20:37:43.069023,0x26e53,159315,-3.9221327500000003
2020-04-30 20:37:43.171731,0x264cb,156875,-4.01521875
2020-04-30 20:37:43.294800,0x25ba3,154531,-4.10464235
2020-04-30 20:37:43.396331,0x2512c,151852,-4.2068462
2020-04-30 20:37:43.497993,0x248eb,149739,-4.28745715
2020-04-30 20:37:43.599291,0x24162,147810,-4.3610485
2020-04-30 20:37:43.704098,0x23a21,145953,-4.43189305
2020-04-30 20:37:43.827602,0x232ec,144108,-4.5022798
2020-04-30 20:37:43.929432,0x22b2b,142123,-4.57800755
2020-04-30 20:37:44.036089,0x22575,140661,-4.63378285
2020-04-30 20:37:44.780725,0x22003,139267,-4.68696395
2020-04-30 20:37:44.923917,0x208bd,133309,-4.91426165
2020-04-30 20:37:45.025904,0x20743,132931,-4.92868235
2020-04-30 20:37:45.128304,0x206ee,132846,-4.9319251
2020-04-30 20:37:45.230025,0x20712,132882,-4.9305517000000005
2020-04-30 20:37:45.331626,0x207e4,133092,-4.9225402
2020-04-30 20:37:45.434434,0x2090e,133390,-4.9111715
2020-04-30 20:37:45.536688,0x20aca,133834,-4.8942329
2020-04-30 20:37:45.640293,0x20d26,134438,-4.8711903
2020-04-30 20:37:45.764180,0x20ffd,135165,-4.84345525
2020-04-30 20:37:45.889058,0x213fd,136189,-4.80438965
2020-04-30 20:37:45.995109,0x218cd,137421,-4.75738885
2020-04-30 20:37:46.096912,0x21d93,138643,-4.71076955
2020-04-30 20:37:46.198515,0x222a7,139943,-4.66117455
2020-04-30 20:37:46.301750,0x2280d,141325,-4.60845125
2020-04-30 20:37:46.405464,0x22e2c,142892,-4.5486702
2020-04-30 20:37:46.507614,0x234ba,144570,-4.4846545
2020-04-30 20:37:46.612237,0x23ba7,146343,-4.41701455
2020-04-30 20:37:46.735103,0x24358,148312,-4.3418972
2020-04-30 20:37:46.836932,0x24cc3,150723,-4.24991755
2020-04-30 20:37:46.939875,0x2556e,152942,-4.1652627
2020-04-30 20:37:47.042313,0x25e59,155225,-4.07816625
2020-04-30 20:37:47.144349,0x2678b,157579,-3.9883611500000002
2020-04-30 20:37:47.246391,0x27171,160113,-3.89168905
2020-04-30 20:37:47.348455,0x27b77,162679,-3.7937961500000004
2020-04-30 20:37:47.451829,0x28608,165384,-3.6906004
2020-04-30 20:37:47.574616,0x29112,168210,-3.5827885000000004
2020-04-30 20:37:47.676854,0x29ec8,171720,-3.4488820000000002
2020-04-30 20:37:47.778856,0x2aa86,174726,-3.3342031
2020-04-30 20:37:47.880986,0x2b6b3,177843,-3.2152895500000005
2020-04-30 20:37:47.985111,0x2c321,181025,-3.0938962500000002
2020-04-30 20:37:48.088773,0x2d015,184341,-2.96739085
2020-04-30 20:37:48.191327,0x2dd63,187747,-2.83745195
2020-04-30 20:37:48.299187,0x2eac8,191176,-2.7066356000000003
2020-04-30 20:37:48.422701,0x2f970,194928,-2.5634968000000002
2020-04-30 20:37:48.546678,0x30a2d,199213,-2.40002405
2020-04-30 20:37:48.648586,0x31ba6,203686,-2.2293791
2020-04-30 20:37:48.750380,0x329fb,207355,-2.08940675
2020-04-30 20:37:48.866307,0x338bd,211133,-1.9452760500000004
2020-04-30 20:37:48.969195,0x349d0,215504,-1.7785224
2020-04-30 20:37:49.071754,0x35907,219399,-1.6299281499999996
2020-04-30 20:37:49.173976,0x36889,223369,-1.4784726500000005
2020-04-30 20:37:49.277350,0x3780a,227338,-1.3270552999999996
2020-04-30 20:37:49.400456,0x387f6,231414,-1.1715558999999995
2020-04-30 20:37:49.503750,0x39b12,236306,-0.9849261000000009
2020-04-30 20:37:49.606650,0x3ab18,240408,-0.8284348000000001
2020-04-30 20:37:49.709412,0x3bb4a,244554,-0.6702648999999994
2020-04-30 20:37:49.812602,0x3cb42,248642,-0.5143076999999998
2020-04-30 20:37:49.914736,0x3db87,252807,-0.35541294999999984
2020-04-30 20:37:50.016942,0x3ebcf,256975,-0.19640375
2020-04-30 20:37:50.127338,0x3fc23,261155,-0.03693675000000063
2020-04-30 20:37:50.252602,0xd1e,3358,0.1281077
2020-04-30 20:37:50.375723,0x20e1,8417,0.32110855
2020-04-30 20:37:50.477741,0x3493,13459,0.51346085
2020-04-30 20:37:50.579830,0x4499,17561,0.66995215
2020-04-30 20:37:50.683909,0x54c9,21705,0.82804575
2020-04-30 20:37:50.787193,0x650d,25869,0.9869023499999999
2020-04-30 20:37:50.890704,0x74f4,29940,1.1422109999999999
2020-04-30 20:37:50.993098,0x8500,34048,1.2989312
2020-04-30 20:37:51.096950,0x9453,37971,1.44859365
2020-04-30 20:37:51.219759,0xa40a,41994,1.6020710999999999
2020-04-30 20:37:51.321934,0xb67c,46716,1.7822154
2020-04-30 20:37:51.425741,0xc573,50547,1.92836805
2020-04-30 20:37:51.528911,0xd46b,54379,2.07455885
2020-04-30 20:37:51.631955,0xe2ff,58111,2.21693465
2020-04-30 20:37:51.734446,0xf190,61840,2.359196
2020-04-30 20:37:51.837376,0xffa3,65443,2.4966504499999997
2020-04-30 20:37:51.946507,0x10da1,69025,2.63330375
2020-04-30 20:37:52.073160,0x11c1e,72734,2.7748021
2020-04-30 20:37:52.198335,0x12c58,76888,2.9332772
2020-04-30 20:37:52.300907,0x13c30,80944,3.0880136
2020-04-30 20:37:52.403276,0x1485b,84059,3.20685085
2020-04-30 20:37:52.505777,0x154ff,87295,3.3303042499999997
2020-04-30 20:37:52.609391,0x160a8,90280,3.444182
2020-04-30 20:37:52.713861,0x16c31,93233,3.55683895
2020-04-30 20:37:52.817778,0x17772,96114,3.6667491
2020-04-30 20:37:52.922536,0x1821a,98842,3.7708223
2020-04-30 20:37:53.046264,0x18cc8,101576,3.8751244
2020-04-30 20:37:53.149307,0x198b0,104624,3.9914055999999998
2020-04-30 20:37:53.252212,0x1a1cb,106955,4.08033325
2020-04-30 20:37:53.355464,0x1aac3,109251,4.16792565
2020-04-30 20:37:53.460151,0x1b329,111401,4.24994815
2020-04-30 20:37:53.565607,0x1bb53,113491,4.3296816499999995
2020-04-30 20:37:53.671126,0x1c338,115512,4.4067828
2020-04-30 20:37:53.786054,0x1ca41,117313,4.47549095
2020-04-30 20:37:53.925992,0x1d1cf,119247,4.54927305
2020-04-30 20:37:54.029596,0x1d9d9,121305,4.62778575
2020-04-30 20:37:54.132827,0x1df21,122657,4.67936455
2020-04-30 20:37:54.236046,0x1e3d8,123864,4.7254116
2020-04-30 20:37:54.339194,0x1e851,125009,4.7690933499999995
2020-04-30 20:37:54.444391,0x1ec4c,126028,4.8079681999999995
2020-04-30 20:37:54.550564,0x1efb8,126904,4.8413876
2020-04-30 20:37:54.656058,0x1f267,127591,4.86759665
2020-04-30 20:37:54.761234,0x1f4c1,128193,4.89056295
2020-04-30 20:37:54.866911,0x1f6b6,128694,4.9096760999999995
2020-04-30 20:37:54.972625,0x1f7d0,128976,4.9204343999999995
2020-04-30 20:37:55.077862,0x1f85d,129117,4.92581355
2020-04-30 20:37:55.182667,0x1f872,129138,4.9266147
2020-04-30 20:37:55.287760,0x1f7fd,129021,4.9221511499999995
2020-04-30 20:37:55.397941,0x1f6cb,128715,4.91047725
2020-04-30 20:37:55.523943,0x1f55c,128348,4.8964761999999995
2020-04-30 20:37:55.648715,0x1f2bf,127679,4.87095385
2020-04-30 20:37:55.752330,0x1ef39,126777,4.83654255
2020-04-30 20:37:55.858376,0x1ebd5,125909,4.80342835
2020-04-30 20:37:55.964115,0x1e7f5,124917,4.76558355
2020-04-30 20:37:56.070182,0x1e3b4,123828,4.7240382
2020-04-30 20:37:56.175750,0x1dd7c,122236,4.6633034
2020-04-30 20:37:56.281582,0x1d8a9,121001,4.61618815
2020-04-30 20:37:56.387471,0x1d296,119446,4.5568649
2020-04-30 20:37:56.493519,0x1cbf4,117748,4.4920862
2020-04-30 20:37:56.599299,0x1c4a9,115881,4.42086015
2020-04-30 20:37:56.705338,0x1bd09,113929,4.34639135
2020-04-30 20:37:57.448404,0x1b518,111896,4.2688324
2020-04-30 20:37:57.579696,0x16efd,93949,3.58415435
2020-04-30 20:37:57.683696,0x16037,90167,3.43987105
2020-04-30 20:37:57.787824,0x1547f,87167,3.32542105
2020-04-30 20:37:57.892170,0x147ea,83946,3.2025399
2020-04-30 20:37:57.996641,0x13b2f,80687,3.07820905
2020-04-30 20:37:58.100937,0x12dfe,77310,2.9493765
2020-04-30 20:37:58.204786,0x12088,73864,2.8179116
2020-04-30 20:37:58.308748,0x11317,70423,2.68663745
2020-04-30 20:37:58.415024,0x1052b,66859,2.55067085
2020-04-30 20:37:58.521165,0xf682,63106,2.4074939
2020-04-30 20:37:58.626710,0xe7b4,59316,2.2629053999999997
